status,key,kb_url,kb_title,downloaded_html_path,local_doc_path
pending,cascade-administration/permissions/access-rights,https://www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/access-rights.html,Access Rights - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/access-rights.html,docs/cascade-administration/permissions/access-rights/index.html
pending,cascade-administration/permissions/groups,https://www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/groups.html,Groups - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/groups.html,docs/cascade-administration/permissions/groups/index.html
pending,cascade-administration/permissions/role-abilities-in-cascade,https://www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/role-abilities-in-cascade.html,Role Abilities - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/role-abilities-in-cascade.html,docs/cascade-administration/permissions/role-abilities-in-cascade/index.html
pending,cascade-administration/permissions/roles,https://www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/roles.html,Roles - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/roles.html,docs/cascade-administration/permissions/roles/index.html
pending,cascade-administration/permissions/users,https://www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/users.html,Users - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/permissions/users.html,docs/cascade-administration/permissions/users/index.html
pending,cascade-administration/sites/site-import-and-export,https://www.hannonhill.com/cascadecms/latest/cascade-administration/sites/site-import-and-export.html,Site Import and Export - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/sites/site-import-and-export.html,docs/cascade-administration/sites/site-import-and-export/index.html
pending,cascade-administration/snippets,https://www.hannonhill.com/cascadecms/latest/cascade-administration/snippets.html,Snippets - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/snippets.html,docs/cascade-administration/snippets/index.html
pending,cascade-administration/system-dictionary,https://www.hannonhill.com/cascadecms/latest/cascade-administration/system-dictionary.html,System Dictionary - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/system-dictionary.html,docs/cascade-administration/system-dictionary/index.html
pending,cascade-administration/system-preferences,https://www.hannonhill.com/cascadecms/latest/cascade-administration/system-preferences.html,System Preferences - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/system-preferences.html,docs/cascade-administration/system-preferences/index.html
pending,cascade-basics/account-settings,https://www.hannonhill.com/cascadecms/latest/cascade-basics/account-settings.html,User Menu and Account Settings - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/account-settings.html,docs/cascade-basics/account-settings/index.html
pending,cascade-basics/asset-display-options,https://www.hannonhill.com/cascadecms/latest/cascade-basics/asset-display-options.html,Asset Display Options - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/asset-display-options.html,docs/cascade-basics/asset-display-options/index.html
pending,cascade-basics/comments,https://www.hannonhill.com/cascadecms/latest/cascade-basics/comments.html,Comments and Mentions - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/comments.html,docs/cascade-basics/comments/index.html
pending,cascade-basics/creating-content,https://www.hannonhill.com/cascadecms/latest/cascade-basics/creating-content.html,Creating Content - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/creating-content.html,docs/cascade-basics/creating-content/index.html
pending,cascade-basics/daily-content-report,https://www.hannonhill.com/cascadecms/latest/cascade-basics/daily-content-report.html,Daily Content Report - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/daily-content-report.html,docs/cascade-basics/daily-content-report/index.html
pending,cascade-basics/drafts-and-working-copies,https://www.hannonhill.com/cascadecms/latest/cascade-basics/drafts-and-working-copies.html,Drafts and Working Copies - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/drafts-and-working-copies.html,docs/cascade-basics/drafts-and-working-copies/index.html
pending,cascade-basics/my-content,https://www.hannonhill.com/cascadecms/latest/cascade-basics/my-content.html,My Content - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/my-content.html,docs/cascade-basics/my-content/index.html
pending,cascade-basics/search/full-search-and-replace,https://www.hannonhill.com/cascadecms/latest/cascade-basics/search/full-search-and-replace.html,Full Search and Replace - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/search/full-search-and-replace.html,docs/cascade-basics/search/full-search-and-replace/index.html
pending,cascade-basics/the-dashboard,https://www.hannonhill.com/cascadecms/latest/cascade-basics/the-dashboard.html,The Dashboard - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/the-dashboard.html,docs/cascade-basics/the-dashboard/index.html
pending,cascade-basics/unpublishing-deleting-which-is-best,https://www.hannonhill.com/cascadecms/latest/cascade-basics/unpublishing-deleting-which-is-best.html,Unpublishing vs. Deleting Content - Which is best? - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/unpublishing-deleting-which-is-best.html,docs/cascade-basics/unpublishing-deleting-which-is-best/index.html
pending,cascade-basics/using-the-context-menu,https://www.hannonhill.com/cascadecms/latest/cascade-basics/using-the-context-menu.html,Context Menu - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-basics/using-the-context-menu.html,docs/cascade-basics/using-the-context-menu/index.html
pending,content-authoring/accessibility/keyboard-shortcuts,https://www.hannonhill.com/cascadecms/latest/content-authoring/accessibility/keyboard-shortcuts.html,Keyboard Shortcuts - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/content-authoring/accessibility/keyboard-shortcuts.html,docs/content-authoring/accessibility/keyboard-shortcuts/index.html
pending,content-authoring/accessibility/page-accessibility-checker,https://www.hannonhill.com/cascadecms/latest/content-authoring/accessibility/page-accessibility-checker.html,Native On-Page Accessibility Checker - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/content-authoring/accessibility/page-accessibility-checker.html,docs/content-authoring/accessibility/page-accessibility-checker/index.html
